delta_t_min,incl_deg,raan_deg,ecc,argp_deg,M_deg,mean_motion_rev_per_day,x_sgp4,y_sgp4,z_sgp4,vx_sgp4,vy_sgp4,vz_sgp4
0.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-813.262725683818,12355.9691150713,-7881.487338106719,-5.209759004724996,2.608785063384671,3.928249804490111
5.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-2369.691920885464,13068.258633225663,-6660.30668581779,-5.15059596653809,2.1350916353378193,4.199400933912546
10.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-3900.39108488069,13637.898192306116,-5366.261210511032,-5.03962115557872,1.6614232180996371,4.4130102173988766
15.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-5391.206341834433,14067.4701125752,-4016.8975477576582,-4.8866465653946864,1.2044177133466691,4.568140140517809
20.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-6831.217071453413,14363.97235116485,-2629.312891788701,-4.70306070788951,0.776620847444573,4.668513873270204
25.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-8212.923153172924,14537.467205165423,-1218.986427623671,-4.4999893665308575,0.3858758622687558,4.720907003774781
30.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-9531.965442839077,14599.712411495057,200.88365276716655,-4.28707143477046,0.0357520151708304,4.733483500444393
35.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-10786.58166296008,14563.016010375117,1619.5903620792142,-4.071912649669723,-0.2734758439018198,4.714492524300584
40.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-11976.980548811163,14439.411596309585,3028.8096103668727,-3.860053692454196,-0.543734530031413,4.671455931348929
45.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-13104.755495459269,14240.144119638502,4422.314950966622,-3.6552300611503297,-0.7782079779585457,4.610785152447894
50.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-14172.396642616504,13975.403831859532,5795.625166901198,-3.4597425136680777,-0.9806367765210372,4.53769442152991
55.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-15182.916199631383,13654.234101711225,7145.65393353775,-3.274826671445118,-1.154855820842574,4.4562823984796545
60.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-16139.57763036002,13284.548313754996,8470.39720800955,-3.1009692547275507,-1.3045210727417262,4.369689005858425
65.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-17045.709667737265,12873.20752268639,9768.671581310582,-2.938155774162142,-1.4329692126727365,4.280270652974772
70.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-17904.584816183935,12426.126371473589,11039.904114944136,-2.7860535703375704,-1.5431626267819831,4.189764351876884
75.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-18719.344505530546,11948.387187900558,12283.968144549772,-2.644141474878938,-1.6376849000602522,4.099428477319965
80.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-19492.9567410366,11444.350853743375,13501.057447605246,-2.5117985774812657,-1.7187635024423704,4.010157455932195
85.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-20228.19566930856,10917.758661896502,14691.591144313688,-2.3883631219754022,-1.7883050793734176,3.9225722510279706
90.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-20927.63546154538,10371.822795073387,15856.142579927387,-2.273170294878206,-1.8479347567683888,3.8370902656639
95.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-21593.653212158973,9809.305012068431,16995.386597915087,-2.1655754691416846,-1.899034737613824,3.753978592749581
100.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-22228.43723714945,9232.584157443069,18110.06075289602,-2.064967635162291,-1.942779839761604,3.6733941951396543
105.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-22833.998356482687,8643.713586675049,19200.937005543576,-1.9707763442514792,-1.980169014421033,3.595414024828054
110.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-23412.182579786873,8044.469757985745,20268.80125536956,-1.8824744575677912,-2.0120526582526295,3.5200574941745604
115.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-23964.684186208066,7436.393230198803,21314.43871014659,-1.7995782581994582,-2.0391559324166986,3.447303180378768
120.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-24493.05857499161,6820.82320980572,22338.623587186863,-1.7216459705755354,-2.062098484574044,3.3771012041156383
125.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-24998.734520243277,6198.926659858303,23342.112019700733,-1.6482753778154124,-2.0814110302464024,3.309382373623958
130.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-25483.025631989534,5571.722845579155,24325.637326562883,-1.579100986795588,-2.09754924541416,3.2440649149209277
135.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-25947.140934771865,4940.104060348929,25289.907018240097,-1.5137910281135702,-2.1109053861675444,3.181059402641136
140.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-26392.19454307639,4304.8531587430825,26235.601070368444,-1.452044469415984,-2.121818002478913,3.1202723506331833
145.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-26819.214455744463,3666.658419486382,27163.37111780283,-1.3935881482678314,-2.130580062030131,3.0616088048288055
150.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-27229.150514873745,3026.1261747889453,28073.840309338168,-1.3381740835360394,-2.137445751564533,3.0049741940308707
155.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-27622.88158790605,2383.7915682720704,28967.603630748537,-1.2855769935928838,-2.142636179847408,2.9502756293686363
160.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-28001.2220368002,1740.1277423135623,29845.22855316038,-1.2355920302661063,-2.146344168672593,2.8974227948890565
165.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-28364.92753880425,1095.5537048358203,30707.255900635388,-1.1880327255462488,-2.148738286363664,2.846328535775244
170.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-28714.700321632907,450.4410826456525,31554.200859392768,-1.1427291410032168,-2.1499662514101163,2.7969092237898177
175.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-29051.193871562264,-194.8800652424045,32386.55407035185,-1.0995262061690974,-2.150157811586036,2.7490849595834312
180.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-29375.01716919443,-840.116230926019,33204.78276378744,-1.058282230331121,-2.14942718549958,2.702779656420155
185.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-29686.738502444077,-1485.0061170727945,34009.33190546717,-1.0188675718380105,-2.147875138355052,2.6579210387033205
190.0,52.7584,123.0489,0.8164697,310.7158,0.2585,0.37803381,-29986.888901722446,-2129.316872035184,34800.625332703086,-0.9811634493777516,-2.145590751263082,2.6144405802373125
