epoch;name;line1;line2
2025-12-01T09:11:04.540416+00:00;ISS;1 25544U 98067A   25335.38269144  .00009617  00000-0  18108-3 0  9999;2 25544  51.6310 198.7026 0003646 190.2550 169.8364 15.49224672541090
2025-12-01T01:26:38.001984+00:00;ISS;1 25544U 98067A   25335.06016206  .00009187  00000-0  17339-3 0  9990;2 25544  51.6309 200.2993 0003638 188.9407 171.1518 15.49217814541048
2025-11-30T20:47:58.000128+00:00;ISS;1 25544U 98067A   25334.86664352  .00008450  00000-0  16017-3 0  9992;2 25544  51.6312 201.2569 0003670 188.2523 171.8406 15.49213294541018
2025-11-30T13:03:31.260384+00:00;ISS;1 25544U 98067A   25334.54411181  .00007982  00000-0  15180-3 0  9996;2 25544  51.6312 202.8529 0003690 187.0517 173.0420 15.49206887540966
2025-11-30T13:03:31.260384+00:00;ISS;1 25544U 98067A   25334.54411181  .00007982  00000-0  15180-3 0  9996;2 25544  51.6312 202.8529 0003690 187.0517 173.0420 15.49206888540967
2025-11-30T09:57:44.551008+00:00;ISS;1 25544U 98067A   25334.41509897  .00007725  00000-0  14718-3 0  9995;2 25544  51.6312 203.4912 0003703 186.5330 173.5610 15.49203939540940
2025-11-29T21:34:37.466400+00:00;ISS;1 25544U 98067A   25333.89904475  .00008908  00000-0  16851-3 0  9991;2 25544  51.6312 206.0453 0003727 184.4038 175.6918 15.49196254540863
2025-11-29T20:01:44.058144+00:00;ISS;1 25544U 98067A   25333.83453771  .00008010  00000-0  15237-3 0  9994;2 25544  51.6312 206.3646 0003723 184.1118 175.9840 15.49193835540850
2025-11-29T09:11:30.133824+00:00;ISS;1 25544U 98067A   25333.38298766  .00008498  00000-0  16119-3 0  9995;2 25544  51.6313 208.5995 0003728 182.4168 177.6803 15.49185591540783
2025-11-29T02:59:56.376384+00:00;ISS;1 25544U 98067A   25333.12495806  .00008872  00000-0  16795-3 0  9997;2 25544  51.6312 209.8765 0003737 181.3383 178.7596 15.49180644540749
2025-11-28T22:21:16.003872+00:00;ISS;1 25544U 98067A   25332.93143523  .00009407  00000-0  17759-3 0  9997;2 25544  51.6312 210.8341 0003738 180.7008 179.3975 15.49177370540716
2025-11-28T13:03:55.135296+00:00;ISS;1 25544U 98067A   25332.54438814  .00008991  00000-0  17015-3 0  9996;2 25544  51.6312 212.7497 0003745 179.2752 180.8242 15.49168962540650
2025-11-27T21:34:59.940768+00:00;ISS;1 25544U 98067A   25331.89930487  .00004025  00000-0  80753-4 0  9990;2 25544  51.6314 215.9428 0003868 177.5993 182.5015 15.49155559540559
2025-11-27T21:34:59.939904+00:00;ISS;1 25544U 98067A   25331.89930486  .00004025  00000-0  80753-4 0  9999;2 25544  51.6314 215.9428 0003868 177.5993 182.5015 15.49155559540559
2025-11-27T04:33:10.200096+00:00;ISS;1 25544U 98067A   25331.18970139  .00009924  00000-0  18731-3 0  9999;2 25544  51.6312 219.4533 0003813 172.8713 187.2330 15.49112807540440
2025-11-26T22:21:35.365248+00:00;ISS;1 25544U 98067A   25330.93165932  .00010582  00000-0  19922-3 0  9993;2 25544  51.6311 220.7305 0003812 172.0243 188.0807 15.49107800540401
2025-11-26T22:21:35.365248+00:00;ISS;1 25544U 98067A   25330.93165932  .00010582  00000-0  19922-3 0  9993;2 25544  51.6311 220.7305 0003812 172.0243 188.0807 15.49107800540401
2025-11-26T17:42:54.183168+00:00;ISS;1 25544U 98067A   25330.73812712  .00011313  00000-0  21242-3 0  9997;2 25544  51.6309 221.6882 0003815 171.0984 189.0072 15.49104478540371
2025-11-26T09:58:25.455360+00:00;ISS;1 25544U 98067A   25330.41557240  .00010951  00000-0  20595-3 0  9991;2 25544  51.6311 223.2842 0003817 170.1107 189.9957 15.49096240540320
2025-11-26T05:19:44.164416+00:00;ISS;1 25544U 98067A   25330.22203894  .00010829  00000-0  20377-3 0  9995;2 25544  51.6311 224.2419 0003820 169.3460 190.7610 15.49091452540299
