name,norad_id,epoch_tle,t_obs,delta_t_min,incl_deg,raan_deg,ecc,argp_deg,M_deg,mean_motion_rev_per_day,x_sgp4,y_sgp4,z_sgp4,vx_sgp4,vy_sgp4,vz_sgp4,x_true,y_true,z_true,vx_true,vy_true,vz_true,err_x,err_y,err_z,err_vx,err_vy,err_vz,err_norm,horizons_ok
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 14:34:56.665056+00:00,0.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,18460.131659521376,-20923.733602308854,-45.90378902791171,1.6014992517897908,1.3947644676828397,3.126898513682717,18460.133495140457,-20923.731984685128,-45.90363383203275,1.6014994246288805,1.3947648927353318,3.1268980111017926,-0.0018356190812482964,-0.0016176237259060144,-0.00015519587895340692,-1.7283908970711082e-07,-4.250524920923482e-07,5.025809244330048e-07,0.0024515892174059293,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 14:44:56.665056+00:00,10.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,19359.04037017552,-20018.745222883237,1828.3138704079133,1.3932568310300635,1.6202054622718,3.1170833313467665,19359.042340568456,-20018.743337770524,1828.3136601971923,1.3932570128528583,1.6202058488407693,3.117082824225238,-0.0019703929356182925,-0.00188511271335301,0.00021021072097937576,-1.818227948202633e-07,-3.8656896927946605e-07,5.071215283258823e-07,0.0027350112997927977,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 14:54:56.665056+00:00,20.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,20130.210595623066,-18981.664419239845,3690.466667729194,1.1759381597679814,1.8348347479323823,3.0867078726675645,20130.21275265245,-18981.66221924567,3690.4662234310213,1.175938335155698,1.8348351093264312,3.0867073640969735,-0.00215702938294271,-0.0021999941745889373,0.00044429817262425786,-1.753877165722173e-07,-3.613940489088918e-07,5.085705909735339e-07,0.0031129007361785123,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 15:04:56.665056+00:00,30.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,20768.626869989184,-17819.40308507688,5528.278630809203,0.950986022496857,2.037249126527664,3.035995033423888,20768.629197708593,-17819.400582760056,5528.277955387935,0.9509861901407567,2.0372494602723434,3.035994526455288,-0.002327719408640405,-0.002502316823665751,0.0006754212672603899,-1.6764389965118198e-07,-3.337446794482446e-07,5.069685999892215e-07,0.0034836849770938706,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 15:14:56.665056+00:00,40.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,21270.15400658073,-16539.6904033504,7329.647673904516,0.7198902648901464,2.226128912267447,2.965301120491757,21270.15645869829,-16539.68770324904,7329.646651823883,0.7198904392871889,2.226129203810555,2.965300623576543,-0.0024521175582776777,-0.0027001013586414047,0.0010220806325378362,-1.7439704247390608e-07,-2.9154310787760096e-07,4.969152143097233e-07,0.003787885516480109,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 15:24:56.665056+00:00,50.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,21631.562345125243,-15151.020218157217,9082.724805403272,0.4841778007838727,2.400246225396869,2.875112917180998,21631.56494180466,-15151.017254441907,9082.723565046032,0.4841779653872888,2.4002464858031205,2.8751124292139574,-0.002596679416456027,-0.0029637153093062807,0.0012403572400216945,-1.6460341611956864e-07,-2.604062516731176e-07,4.879670405522063e-07,0.004130960966813542,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 15:34:56.665056+00:00,60.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,21850.546954143865,-13662.593631631451,10775.99132436708,0.2454024671514771,2.5584726093574783,2.7660439206049494,21850.54967622847,-13662.59042271244,10775.989872727363,0.24540262087765718,2.5584728367002745,2.76604344452885,-0.002722084605920827,-0.003208919011740363,0.001451639716833597,-1.5372618009101835e-07,-2.2734279614411435e-07,4.7607609943156604e-07,0.004451310334405883,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 15:44:56.665056+00:00,70.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,21925.740718423513,-12084.257243314201,12398.333521040522,0.005134796905754978,2.699785933776291,2.638829791422607,21925.743546001573,-12084.253809076388,12398.331866696904,0.005134938717955047,2.699786126369738,2.638829330089566,-0.0028275780605326872,-0.003434237813053187,0.0016543436177016702,-1.4181220006972972e-07,-1.9259344696820335e-07,4.6133304065776315e-07,0.004746160537786346,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 15:54:56.665056+00:00,80.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,21856.721282715505,-10426.437470198123,13939.114421963697,-0.2350482227408873,2.823276552177782,2.4943230603413333,21856.724195153405,-10426.433831801152,13939.11257497078,-0.23504809382748548,2.823276708574884,2.494322616481471,-0.002912437899794895,-0.0036383969709277153,0.0018469929163984489,-1.2891340181453437e-07,-1.5639710193582346e-07,4.438598621980816e-07,0.005013143711429358,True
BEIDOU-2 M3 (C11),38250,2025-11-24 14:34:56.665056+00:00,2025-11-24 16:04:56.665056+00:00,90.0,55.9357,311.7673,0.0024645,272.7774,86.9385,1.86229898,21644.011862735795,-8700.071402239246,15388.242147983034,-0.4735733412645698,2.928152689675295,2.3334871390778034,21644.01483882377,-8700.067582632628,15388.240119179583,-0.47357322608037966,2.9281528086251107,2.333486715337346,-0.002976087973365793,-0.003819606617980753,0.0020288034502300434,-1.1518419013034631e-07,-1.1894981577498243e-07,4.237404573892434e-07,0.005250003598189263,True
