feature,mae,max_abs_error
satellite_number,0.0,0.0
intl_designator_launch_year,0.0,0.0
intl_designator_launch_number,0.0,0.0
epoch_year,5.0404087e-05,0.00012207031
epoch_day,1.2277369e-06,3.0517578e-05
first_derivative_mean_motion,7.415923e-11,4.656613e-10
second_derivative_mean_motion,2.0265485e-17,9.094947e-13
bstar_drag,2.934309e-11,1.1641532e-10
ephemeris_type,0.0,0.0
element_set_number,0.0,0.0
eccentricity,5.7385065e-12,4.656613e-10
mean_motion_revs_per_day,1.2212318e-07,9.536743e-07
revolution_number_at_epoch,0.00023695533,0.00390625
epoch_unix,2.1845543,64.0
inclination_sin,1.0721903e-08,5.9604645e-08
inclination_cos,0.0,0.0
raan_sin,1.766476e-08,5.9604645e-08
raan_cos,1.7443835e-08,5.9604645e-08
arg_perigee_sin,1.9398309e-08,5.9604645e-08
arg_perigee_cos,1.8858955e-08,5.9604645e-08
mean_anomaly_sin,1.8738184e-08,5.9604645e-08
mean_anomaly_cos,1.8537737e-08,5.9604645e-08
