,satellite_number,intl_designator_launch_year,intl_designator_launch_number,epoch_year,epoch_day,first_derivative_mean_motion,second_derivative_mean_motion,bstar_drag,ephemeris_type,element_set_number,inclination_deg,raan_deg,eccentricity,arg_perigee_deg,mean_anomaly_deg,mean_motion_revs_per_day,revolution_number_at_epoch,epoch_unix
satellite_number,,,,,,,,,,,,,,,,,,
intl_designator_launch_year,,,,,,,,,,,,,,,,,,
intl_designator_launch_number,,,,,,,,,,,,,,,,,,
epoch_year,,,,1.0,-0.016048895059582582,-0.028151765882166172,-0.012613892385454155,-0.02619207527910775,,,0.5012081198789007,0.0008852083576758303,-0.33269348617779226,-0.032288082878944045,-0.014430999004459493,-0.7180576901362703,0.11468349480081631,0.9992557508592004
epoch_day,,,,-0.016048895059582582,1.0,-0.005176911437729111,0.008853533135427175,-0.005509562457458677,,,0.01937441995428406,0.01800018625101555,0.0033248998014444625,-0.024966124146725464,-0.014645279416119277,-0.04538709854370806,-0.04375687900381573,0.022531827744893825
first_derivative_mean_motion,,,,-0.028151765882166172,-0.005176911437729111,1.0,0.0197240494571804,0.9645098830330131,,,-0.0472770828501212,-0.0028113182609877637,0.024169942851575307,0.005254820197050136,0.0012080053746600023,0.01847624258521507,-0.013244860884900313,-0.02834818437147245
second_derivative_mean_motion,,,,-0.012613892385454155,0.008853533135427175,0.0197240494571804,1.0,0.00706672592959822,,,-0.018764417629111324,-0.0011099800171601878,0.09288587137092708,-0.004254053866450797,0.0055970393069181956,0.02120378780082187,-0.010868097154159671,-0.012270468521305878
bstar_drag,,,,-0.02619207527910775,-0.005509562457458677,0.9645098830330131,0.00706672592959822,1.0,,,-0.04756263784972648,-0.003011367131966736,0.01228475358161755,0.006024930561055215,-0.0006039834517229568,0.006430751509715253,-0.008206169678651981,-0.026401661486219297
ephemeris_type,,,,,,,,,,,,,,,,,,
element_set_number,,,,,,,,,,,,,,,,,,
inclination_deg,,,,0.5012081198789007,0.01937441995428406,-0.0472770828501212,-0.018764417629111324,-0.04756263784972648,,,1.0,0.006162732671142793,-0.1794521138646811,-0.03249301795646834,-0.02747096105199894,-0.19854869408991463,0.4383745722070854,0.5019075863793927
raan_deg,,,,0.0008852083576758303,0.01800018625101555,-0.0028113182609877637,-0.0011099800171601878,-0.003011367131966736,,,0.006162732671142793,1.0,-0.0030342237337894705,0.03326486050809934,0.001745376230389733,0.0008374031881683381,0.005503054995541549,0.0015794129589503565
eccentricity,,,,-0.33269348617779226,0.0033248998014444625,0.024169942851575307,0.09288587137092708,0.01228475358161755,,,-0.1794521138646811,-0.0030342237337894705,1.0,-0.004504232114076208,0.008059482329288721,0.28101917777609947,0.11339109596247614,-0.3325311071190016
arg_perigee_deg,,,,-0.032288082878944045,-0.024966124146725464,0.005254820197050136,-0.004254053866450797,0.006024930561055215,,,-0.03249301795646834,0.03326486050809934,-0.004504232114076208,1.0,0.02928546533724028,0.03190717822714916,0.011312274450614262,-0.03324485213878823
mean_anomaly_deg,,,,-0.014430999004459493,-0.014645279416119277,0.0012080053746600023,0.0055970393069181956,-0.0006039834517229568,,,-0.02747096105199894,0.001745376230389733,0.008059482329288721,0.02928546533724028,1.0,0.020526407151576817,-0.02544273574680555,-0.014992148559788393
mean_motion_revs_per_day,,,,-0.7180576901362703,-0.04538709854370806,0.01847624258521507,0.02120378780082187,0.006430751509715253,,,-0.19854869408991463,0.0008374031881683381,0.28101917777609947,0.03190717822714916,0.020526407151576817,1.0,0.02330569593232143,-0.7197189908960855
revolution_number_at_epoch,,,,0.11468349480081631,-0.04375687900381573,-0.013244860884900313,-0.010868097154159671,-0.008206169678651981,,,0.4383745722070854,0.005503054995541549,0.11339109596247614,0.011312274450614262,-0.02544273574680555,0.02330569593232143,1.0,0.11298493405074303
epoch_unix,,,,0.9992557508592004,0.022531827744893825,-0.02834818437147245,-0.012270468521305878,-0.026401661486219297,,,0.5019075863793927,0.0015794129589503565,-0.3325311071190016,-0.03324485213878823,-0.014992148559788393,-0.7197189908960855,0.11298493405074303,1.0
