feature,mae,max_abs_error
satellite_number,0.0,0.0
intl_designator_launch_year,0.00016188718,0.00032806396
intl_designator_launch_number,0.00060699106,0.001083374
epoch_year,9.433011,11.831055
epoch_day,74.07287,201.10583
first_derivative_mean_motion,0.00048496632,0.053416863
second_derivative_mean_motion,5.4946275e-07,1.4159419e-06
bstar_drag,0.00027250053,0.11437353
ephemeris_type,0.0005631988,0.0008313237
element_set_number,0.00025787848,0.00061035156
inclination_deg,0.002889352,0.024238586
raan_deg,71.99248,232.77335
eccentricity,0.00022000847,0.00061806827
arg_perigee_deg,71.69458,284.8866
mean_anomaly_deg,114.98986,351.93494
mean_motion_revs_per_day,0.07779471,0.11420536
revolution_number_at_epoch,29669.45,46263.168
epoch_unix,2.998291e+08,3.72987e+08
