feature,mae,max_abs_error
satellite_number,0.0,0.0
intl_designator_launch_year,0.0,0.0
intl_designator_launch_number,0.0,0.0
epoch_year,6.492531e-05,0.00012207031
epoch_day,1.2045456e-06,3.0517578e-05
first_derivative_mean_motion,9.925043e-10,1.9790605e-09
second_derivative_mean_motion,0.0,0.0
bstar_drag,2.3185223e-09,5.5879354e-09
ephemeris_type,0.0,0.0
element_set_number,0.0,0.0
inclination_deg,6.0709664e-07,3.8146973e-06
raan_deg,1.3194436e-06,1.5258789e-05
eccentricity,3.716288e-12,5.820766e-11
arg_perigee_deg,9.3022544e-07,3.0517578e-05
mean_anomaly_deg,1.0874727e-06,3.0517578e-05
mean_motion_revs_per_day,1.2526608e-07,9.536743e-07
revolution_number_at_epoch,0.00020124637,0.00390625
epoch_unix,22.505495,128.0
