,satellite_number,intl_designator_launch_year,intl_designator_launch_number,epoch_year,epoch_day,first_derivative_mean_motion,second_derivative_mean_motion,bstar_drag,ephemeris_type,element_set_number,eccentricity,mean_motion_revs_per_day,revolution_number_at_epoch,epoch_unix,inclination_sin,inclination_cos,raan_sin,raan_cos,arg_perigee_sin,arg_perigee_cos,mean_anomaly_sin,mean_anomaly_cos
satellite_number,,,,,,,,,,,,,,,,,,,,,,
intl_designator_launch_year,,,,,,,,,,,,,,,,,,,,,,
intl_designator_launch_number,,,,,,,,,,,,,,,,,,,,,,
epoch_year,,,,1.0,-0.01961267156379401,-0.39953599523659944,-0.03265659567240493,-0.16923740659930003,,,-0.3360753932690414,-0.7162475015203832,0.1274404035785409,0.9992765455904865,0.5113161187474006,-0.511361709602018,0.0013701083063490723,0.0014305763425562638,0.037199261524802026,0.05522775209627914,0.020789097730120325,0.02625300592998709
epoch_day,,,,-0.01961267156379401,1.0,-0.023591800654030003,0.023663190221922432,-0.009404089047099681,,,0.0012610807676983133,-0.039379943417735,-0.03579682487165373,0.018425441510128617,0.021610698983662205,-0.021605562923182532,-0.018349417889076854,-0.025481104111232878,0.037066928207931914,-0.013550697193011078,0.017544838436850577,0.0191129697204738
first_derivative_mean_motion,,,,-0.39953599523659944,-0.023591800654030003,1.0,0.22730317067212705,0.8196797192568445,,,0.2708712636439423,0.2630791473273744,-0.07564582255475036,-0.40044537328277796,-0.3865055530826889,0.38650901829966744,-0.01814085827034827,0.04283035963770077,-0.012491189317865775,-0.015280647291164086,-0.00950457140663377,-0.0064536436367642796
second_derivative_mean_motion,,,,-0.03265659567240493,0.023663190221922432,0.22730317067212705,1.0,0.007525391223520553,,,0.30839825063350784,0.06364942252429034,-0.02886243926559444,-0.03175641618657136,-0.046892935548596436,0.0469007936642837,0.008292778663258562,-0.023211881257037912,0.021576299424069672,-0.005242443443626375,-0.025026967946821733,-0.0032245799750226637
bstar_drag,,,,-0.16923740659930003,-0.009404089047099681,0.8196797192568445,0.007525391223520553,1.0,,,0.12247258676023573,-0.0830583917234381,-0.01653064984012755,-0.1696021138949585,-0.3001491300469981,0.3001414369468748,-0.012810267515986106,0.04957238151576768,-0.013803992407181654,0.007887371813357422,0.003801152581398723,-0.00274564541545799
ephemeris_type,,,,,,,,,,,,,,,,,,,,,,
element_set_number,,,,,,,,,,,,,,,,,,,,,,
